id;frase;sentimento
1;precarizacao;Negativo
2;lucros;Negativo
3;prejuizo;Negativo
4;excelente;Negativo
5;isso;Negativo
6;rio;Negativo
7;grande;Negativo
8;sul;Negativo
9;tiveram;Negativo
10;probleminha;Negativo
11;pessoal;Negativo
12;"""estado";Negativo
13;"zero""";Negativo
14;foi;Negativo
15;altamente;Negativo
16;pedir;Negativo
17;ajuda;Negativo
18;estado;Negativo
19;mesmo;Negativo
20;governador;Negativo
21;queira;Negativo
22;alma;Negativo
23;gauchos;Negativo
24;lucro;Negativo
25;deles;Negativo
26;privado;Negativo
27;sempre;Negativo
28;publico;Negativo
29;acho;Negativo
30;insano;Negativo
31;demais;Negativo
32;construir;Negativo
33;toda;Negativo
34;infraestrutura;Negativo
35;investir;Negativo
36;todos;Negativo
37;mentiroso;Negativo
38;vai;Negativo
39;entrega;Negativo
40;alguem;Negativo
41;so;Negativo
42;lucrar;Negativo
43;quase;Negativo
44;nada;Negativo
45;contrapartida;Negativo
46;pelo;Negativo
47;menos;Negativo
48;servico;Negativo
49;fosse;Negativo
50;muito;Negativo
51;melhor;Negativo
52;mais;Negativo
53;barato;Negativo
54;fica;Negativo
55;pior;Negativo
56;cade;Negativo
57;eficiente;Negativo
58;setor;Negativo
59;competicao;Negativo
60;nao;Negativo
61;pro;Negativo
62;amigo;Negativo
63;positivo;Negativo
64;engracado;Negativo
65;pra;Negativo
66;sabesp;Negativo
67;preocupacao;Negativo
68;aparece;Negativo
69;exato;Neutro
70;essas;Negativo
71;arvores;Negativo
72;podem;Negativo
73;ser;Negativo
74;podadas;Negativo
75;antes;Negativo
76;desastre;Negativo
77;estou;Negativo
78;ha;Negativo
79;dois;Negativo
80;anos;Negativo
81;pedindo;Negativo
82;podar;Negativo
83;arvore;Negativo
84;frente;Negativo
85;casa;Negativo
86;causou;Negativo
87;k;Negativo
88;preju;Negativo
89;cerca;Negativo
90;eletrica;Negativo
91;serpentina;Negativo
92;muro;Negativo
93;hoje;Negativo
94;poda;Negativo
95;fez;Negativo
96;pos;Negativo
97;asfalto;Negativo
98;obras;Neutro
99;baixissima;Neutro
100;qualidade;Neutro
101;superfaturadas;Neutro
102;ainda;Neutro
103;pensou;Neutro
104;fizesse;Neutro
105;dele;Neutro
106;teriam;Negativo
107;aumentado;Negativo
108;pedidos;Negativo
109;emergenciais;Negativo
110;cidade;Negativo
111;cairam;Negativo
112;poderiam;Negativo
113;ter;Negativo
114;sido;Negativo
115;teriamos;Negativo
116;esse;Negativo
117;enel;Negativo
118;sim;Negativo
119;governo;Negativo
120;federal;Negativo
121;culpa;Negativo
122;fazer;Negativo
123;respeito;Negativo
124;agora;Negativo
125;bocal;Negativo
126;poderia;Negativo
127;feito;Negativo
128;acoes;Negativo
129;preventivas;Negativo
130;deixou;Negativo
131;acumular;Negativo
132;risco;Negativo
133;nesse;Negativo
134;meio;Negativo
135;tempo;Negativo
136;apagao;Negativo
137;ano;Negativo
138;passado;Negativo
139;vemos;Neutro
140;pesquisas;Neutro
141;colocando;Neutro
142;cara;Neutro
143;disparado;Neutro
144;primeiro;Neutro
145;mil;Negativo
146;homens;Negativo
147;cortaram;Negativo
148;durante;Negativo
149;meses;Negativo
150;seca;Negativo
151;responsabilidade;Negativo
152;desses;Negativo
153;apagoes;Negativo
154;zeladoria;Negativo
155;cobra;Negativo
156;fiacoes;Negativo
157;sejam;Negativo
158;subterraneas;Negativo
159;esta;Negativo
160;lei;Negativo
161;tavam;Neutro
162;passando;Neutro
163;mentira;Neutro
164;ganhar;Neutro
165;votos;Neutro
166;ahh;Neutro
167;adoro;Neutro
168;ricardo;Neutro
169;nunes;Neutro
170;assume;Negativo
171;bo;Negativo
172;faz;Negativo
173;trampo;Negativo
174;prevencao;Negativo
175;carisma;Neutro
176;bueiro;Neutro
177;aberto;Neutro
178;alagado;Neutro
179;aumentou;Neutro
180;proprio;Neutro
181;salario;Neutro
182;corta;Neutro
183;dinheiro;Neutro
184;aposentadoria;Neutro
185;professor;Neutro
186;populacao;Neutro
187;situacao;Neutro
188;rua;Neutro
189;teve;Negativo
190;plantao;Negativo
191;globo;Negativo
192;cobertura;Negativo
193;ao;Negativo
194;vivo;Negativo
195;jornalismo;Negativo
196;sobrevoo;Negativo
197;helicoptero;Negativo
198;mostrar;Negativo
199;estrago;Negativo
200;linda;Negativo
201;combinacao;Negativo
202;fraco;Negativo
203;curto;Negativo
204;amigos;Negativo
205;cheios;Negativo
206;panos;Negativo
207;passar;Negativo
208;picole;Neutro
209;chuchu;Neutro
210;deixa;Neutro
211;pessoas;Neutro
212;preocupadas;Neutro
213;roubalheiras;Neutro
214;parte;Neutro
215;nem;Neutro
216;sabia;Neutro
217;nome;Neutro
218;palhaco;Negativo
219;luz;Negativo
220;cai;Negativo
221;news;Negativo
222;ligava;Negativo
223;h;Negativo
224;soltava;Negativo
225;editorial;Negativo
226;falando;Negativo
227;incompetencia;Negativo
228;vier;Negativo
229;defender;Negativo
230;burro;Negativo
231;outra;Negativo
232;explicacao;Negativo
233;sera;Negativo
234;energia;Negativo
235;hora;Negativo
236;nadinha;Negativo
237;coitado;Negativo
238;vez;Neutro
239;ir;Neutro
240;camarote;Neutro
241;formula;Neutro
242;fazem;Negativo
243;colocam;Negativo
244;outros;Negativo
245;assumir;Negativo
246;propria;Negativo
247;bolsonaro;Negativo
248;estados;Negativo
249;jornalistas;Negativo
250;anita;Negativo
251;caetano;Negativo
252;ema;Negativo
253;pela;Negativo
254;recusa;Negativo
255;governar;Negativo
256;vagabundear;Negativo
257;brasil;Negativo
258;monte;Negativo
259;homenzinhos;Negativo
260;brabinhos;Negativo
261;moto;Negativo
262;jetsky;Negativo
263;mao;Negativo
264;congresso;Negativo
265;stf;Negativo
266;explica;Negativo
267;seria;Negativo
268;responsavel;Negativo
269;concessao;Negativo
270;sp;Negativo
271;goiania;Negativo
272;tomou;Negativo
273;volta;Negativo
274;celg;Negativo
275;passou;Negativo
276;equatorial;Negativo
277;ver;Negativo
278;uniao;Negativo
